sample_id,listener_name,score
VoiceMOS2023Track2-B01-SF1-CDF1-30001,21eKjJbGKOBq,1
VoiceMOS2023Track2-B01-SF1-CDF1-30001,9a18RdJp4V2w,3
VoiceMOS2023Track2-B01-SF1-CDF1-30001,DEN4P931QJkP,3
VoiceMOS2023Track2-B01-SF1-CDF1-30001,VDmQ7AbEK1Yg,2
VoiceMOS2023Track2-B01-SF1-CDF1-30001,VDmQ7LMm81Yg,4
VoiceMOS2023Track2-B01-SF1-CDF1-30001,jzV4JbAo42R7,4
VoiceMOS2023Track2-B01-SF1-CDF1-30001,jzV4JyreK2R7,3
VoiceMOS2023Track2-B01-SF1-CDF1-30002,21eKjJAzKOBq,3
VoiceMOS2023Track2-B01-SF1-CDF1-30002,MNZ8D2M24B9Y,4
VoiceMOS2023Track2-B01-SF1-CDF1-30002,WRm85LkPQDqA,5
VoiceMOS2023Track2-B01-SF1-CDF1-30002,jzV4JbAo42R7,3
VoiceMOS2023Track2-B01-SF1-CDF1-30002,kbJ4lXex4NpM,2
VoiceMOS2023Track2-B01-SF1-CDF1-30002,q1b8yMqy8ePE,4
VoiceMOS2023Track2-B01-SF1-CDF1-30002,rXG81VB1KLJN,3
VoiceMOS2023Track2-B01-SF1-CDF1-30003,D7G8kJg6QoJg,3
VoiceMOS2023Track2-B01-SF1-CDF1-30003,DgqQ2Oba8AMo,4
VoiceMOS2023Track2-B01-SF1-CDF1-30003,DgqQ2XY9KAMo,4
VoiceMOS2023Track2-B01-SF1-CDF1-30003,dXkQwe7eKr36,3
VoiceMOS2023Track2-B01-SF1-CDF1-30003,mPgK0BzLQX76,5
VoiceMOS2023Track2-B01-SF1-CDF1-30004,3kG8YNL7K6LP,3
VoiceMOS2023Track2-B01-SF1-CDF1-30004,VbPKe7A5Q3e6,4
VoiceMOS2023Track2-B01-SF1-CDF1-30004,bgz8qRVdKPVN,5
VoiceMOS2023Track2-B01-SF1-CDF1-30004,pkdQmJ1W8Z1N,4
VoiceMOS2023Track2-B01-SF1-CDF1-30004,rEG8ZP9D4ObN,3
VoiceMOS2023Track2-B01-SF1-CDF1-30004,rEG8ZPXE4ObN,4
VoiceMOS2023Track2-B01-SF1-CDF1-30005,WRm85VRlKDqA,3
VoiceMOS2023Track2-B01-SF1-CDF1-30005,XlR8d5OmKvyg,4
VoiceMOS2023Track2-B01-SF1-CDF1-30005,eMw8BqOOQGa6,4
VoiceMOS2023Track2-B01-SF1-CDF1-30005,mPgK0BOLQX76,4
VoiceMOS2023Track2-B01-SF1-CDF1-30005,mPgK0BbLQX76,3
VoiceMOS2023Track2-B01-SF1-CDF1-30007,Oye4APzkK7vG,2
VoiceMOS2023Track2-B01-SF1-CDF1-30007,VbPKepZp83e6,4
VoiceMOS2023Track2-B01-SF1-CDF1-30007,XlR8d53mKvyg,5
VoiceMOS2023Track2-B01-SF1-CDF1-30007,eMw8BqkOQGa6,4
VoiceMOS2023Track2-B01-SF1-CDF1-30007,ovRKapbD83kG,3
VoiceMOS2023Track2-B01-SF1-CDF1-30008,10q8rw6NK2gE,3
VoiceMOS2023Track2-B01-SF1-CDF1-30008,DgqQ2XY9KAMo,3
VoiceMOS2023Track2-B01-SF1-CDF1-30008,MNZ8D2Do4B9Y,3
VoiceMOS2023Track2-B01-SF1-CDF1-30008,Oye4AP1lK7vG,2
VoiceMOS2023Track2-B01-SF1-CDF1-30008,PZ643LbjQA7y,3
VoiceMOS2023Track2-B01-SF1-CDF1-30008,ZxdQpP7YQJlr,2
VoiceMOS2023Track2-B01-SF1-CDF1-30008,pkdQmXAN4Z1N,3
VoiceMOS2023Track2-B01-SF1-CDF1-30009,75LQLX9xQwyp,5
VoiceMOS2023Track2-B01-SF1-CDF1-30009,Oye4APGaK7vG,4
VoiceMOS2023Track2-B01-SF1-CDF1-30009,VDmQ7Lbj81Yg,4
VoiceMOS2023Track2-B01-SF1-CDF1-30009,q1b8yM5B8ePE,3
VoiceMOS2023Track2-B01-SF1-CDF1-30009,xND8xoAvQLRG,2
VoiceMOS2023Track2-B01-SF1-CDF1-30010,15dQnB0gQOxP,5
VoiceMOS2023Track2-B01-SF1-CDF1-30010,21eKjJgzKOBq,3
VoiceMOS2023Track2-B01-SF1-CDF1-30010,RAGKXPLbKV2k,5
VoiceMOS2023Track2-B01-SF1-CDF1-30010,bgz8qdA9QPVN,4
VoiceMOS2023Track2-B01-SF1-CDF1-30010,mPgK0BbqQX76,4
VoiceMOS2023Track2-B01-SF1-CDF1-30010,rXG81e1J8LJN,5
VoiceMOS2023Track2-B01-SF1-CDF1-30011,VbPKe7A5Q3e6,3
VoiceMOS2023Track2-B01-SF1-CDF1-30011,VbPKepOB83e6,4
VoiceMOS2023Track2-B01-SF1-CDF1-30011,WRm85LbPQDqA,4
VoiceMOS2023Track2-B01-SF1-CDF1-30011,bgz8qReOKPVN,4
VoiceMOS2023Track2-B01-SF1-CDF1-30011,ovRKaDej83kG,3
VoiceMOS2023Track2-B01-SF1-CDF1-30012,15dQnBmpQOxP,4
VoiceMOS2023Track2-B01-SF1-CDF1-30012,jzV4JykLK2R7,5
VoiceMOS2023Track2-B01-SF1-CDF1-30012,lVX8ObA5Qp9n,4
VoiceMOS2023Track2-B01-SF1-CDF1-30012,mPgK0BO1QX76,1
VoiceMOS2023Track2-B01-SF1-CDF1-30012,rEG8ZPLE4ObN,4
VoiceMOS2023Track2-B01-SF1-CDF1-30014,DgqQ2OVe8AMo,5
VoiceMOS2023Track2-B01-SF1-CDF1-30014,MNZ8D2994B9Y,5
VoiceMOS2023Track2-B01-SF1-CDF1-30014,Px249bPeQkgb,3
VoiceMOS2023Track2-B01-SF1-CDF1-30014,VDmQ7AbXK1Yg,2
VoiceMOS2023Track2-B01-SF1-CDF1-30014,VDmQ7LBm81Yg,3
VoiceMOS2023Track2-B01-SF1-CDF1-30014,jzV4JbAo42R7,3
VoiceMOS2023Track2-B01-SF1-CDF1-30015,921KVPlwQEXJ,2
VoiceMOS2023Track2-B01-SF1-CDF1-30015,DEN4P9dVQJkP,2
VoiceMOS2023Track2-B01-SF1-CDF1-30015,Eam8znkz87Mx,2
VoiceMOS2023Track2-B01-SF1-CDF1-30015,Gjy4NVmo46Pb,5
VoiceMOS2023Track2-B01-SF1-CDF1-30015,eMw8ByAYQGa6,2
VoiceMOS2023Track2-B01-SF1-CDF1-30015,kbJ4lXxx4NpM,3
VoiceMOS2023Track2-B01-SF1-CDF1-30016,9xV4WOWR4anW,3
VoiceMOS2023Track2-B01-SF1-CDF1-30016,VbPKepBp83e6,4
VoiceMOS2023Track2-B01-SF1-CDF1-30016,q1b8yjAOKePE,3
VoiceMOS2023Track2-B01-SF1-CDF1-30016,rXG81e7J8LJN,3
VoiceMOS2023Track2-B01-SF1-CDF1-30016,xND8xlmL8LRG,3
VoiceMOS2023Track2-B01-SF1-CDF1-30017,75LQLXegQwyp,5
VoiceMOS2023Track2-B01-SF1-CDF1-30017,MNZ8DXAA8B9Y,5
VoiceMOS2023Track2-B01-SF1-CDF1-30017,RAGKXPZJKV2k,4
VoiceMOS2023Track2-B01-SF1-CDF1-30017,VDmQ7LZ681Yg,4
VoiceMOS2023Track2-B01-SF1-CDF1-30017,XlR8d5BXKvyg,3
VoiceMOS2023Track2-B01-SF1-CDF1-30017,bgz8qReDKPVN,3
VoiceMOS2023Track2-B01-SF1-CDF1-30018,MA1KMB5O4jVp,4
VoiceMOS2023Track2-B01-SF1-CDF1-30018,WRm85VRlKDqA,2
VoiceMOS2023Track2-B01-SF1-CDF1-30018,ZxdQpPALQJlr,3
VoiceMOS2023Track2-B01-SF1-CDF1-30018,lVX8O9eZ4p9n,3
VoiceMOS2023Track2-B01-SF1-CDF1-30018,q1b8yM5L8ePE,3
VoiceMOS2023Track2-B01-SF1-CDF1-30019,21eKjJ2GKOBq,3
VoiceMOS2023Track2-B01-SF1-CDF1-30019,MA1KMBAj4jVp,4
VoiceMOS2023Track2-B01-SF1-CDF1-30019,RAGKXPZ3KV2k,3
VoiceMOS2023Track2-B01-SF1-CDF1-30019,bgL4b2Lp4jvA,4
VoiceMOS2023Track2-B01-SF1-CDF1-30019,q1b8yjAJKePE,3
VoiceMOS2023Track2-B01-SF1-CDF1-30020,03586LMq4vMB,3
VoiceMOS2023Track2-B01-SF1-CDF1-30020,15dQnBopQOxP,3
VoiceMOS2023Track2-B01-SF1-CDF1-30020,9a18RdBp4V2w,2
VoiceMOS2023Track2-B01-SF1-CDF1-30020,Eam8zneP87Mx,3
VoiceMOS2023Track2-B01-SF1-CDF1-30020,PZ643LAjQA7y,3
VoiceMOS2023Track2-B01-SF1-CDF1-30020,RAGKXNyaQV2k,4
VoiceMOS2023Track2-B01-SF1-CDF1-30020,ovRKapbD83kG,3
VoiceMOS2023Track2-B01-SF1-CDF1-30021,D7G8kJZLQoJg,2
VoiceMOS2023Track2-B01-SF1-CDF1-30021,DEN4P9q3QJkP,4
VoiceMOS2023Track2-B01-SF1-CDF1-30021,Oye4AOAz87vG,3
VoiceMOS2023Track2-B01-SF1-CDF1-30021,bgz8qRzdKPVN,1
VoiceMOS2023Track2-B01-SF1-CDF1-30021,eB78grALQJ2A,3
VoiceMOS2023Track2-B01-SF1-CDF1-30021,pkdQmJeW8Z1N,5
VoiceMOS2023Track2-B01-SF1-CDF1-30022,DEN4P9J0QJkP,4
VoiceMOS2023Track2-B01-SF1-CDF1-30022,MA1KMB0b4jVp,4
VoiceMOS2023Track2-B01-SF1-CDF1-30022,MNZ8D2k24B9Y,2
VoiceMOS2023Track2-B01-SF1-CDF1-30022,ovRKaDrd83kG,2
VoiceMOS2023Track2-B01-SF1-CDF1-30022,xND8xoAvQLRG,1
VoiceMOS2023Track2-B01-SF1-CDM1-30001,3N78G0GmKJPn,4
VoiceMOS2023Track2-B01-SF1-CDM1-30001,3N78G0pmKJPn,2
VoiceMOS2023Track2-B01-SF1-CDM1-30001,3N78GrA2QJPn,4
VoiceMOS2023Track2-B01-SF1-CDM1-30001,DgqQ2XY2KAMo,3
VoiceMOS2023Track2-B01-SF1-CDM1-30001,eMw8Bq1dQGa6,3
VoiceMOS2023Track2-B01-SF1-CDM1-30001,lVX8O9Ye4p9n,3
VoiceMOS2023Track2-B01-SF1-CDM1-30002,DgqQ2O0v8AMo,2
VoiceMOS2023Track2-B01-SF1-CDM1-30002,MNZ8D2Zo4B9Y,3
VoiceMOS2023Track2-B01-SF1-CDM1-30002,Xv04EmEd4MJE,2
VoiceMOS2023Track2-B01-SF1-CDM1-30002,dXkQweY5Kr36,3
VoiceMOS2023Track2-B01-SF1-CDM1-30002,rXG81VB1KLJN,3
VoiceMOS2023Track2-B01-SF1-CDM1-30003,10q8rwo7K2gE,2
VoiceMOS2023Track2-B01-SF1-CDM1-30003,10q8rwrNK2gE,2
VoiceMOS2023Track2-B01-SF1-CDM1-30003,D7G8kJ1LQoJg,5
VoiceMOS2023Track2-B01-SF1-CDM1-30003,Eam8znR987Mx,2
VoiceMOS2023Track2-B01-SF1-CDM1-30003,rEG8ZeXpQObN,3
VoiceMOS2023Track2-B01-SF1-CDM1-30004,15dQnBg3QOxP,3
VoiceMOS2023Track2-B01-SF1-CDM1-30004,75LQLXj7Qwyp,4
VoiceMOS2023Track2-B01-SF1-CDM1-30004,DgqQ2XY9KAMo,3
VoiceMOS2023Track2-B01-SF1-CDM1-30004,RAGKXPRJKV2k,3
VoiceMOS2023Track2-B01-SF1-CDM1-30004,bgz8qRADKPVN,4
VoiceMOS2023Track2-B01-SF1-CDM1-30004,rXG81eZ08LJN,3
VoiceMOS2023Track2-B01-SF1-CDM1-30005,15dQnBA3QOxP,4
VoiceMOS2023Track2-B01-SF1-CDM1-30005,Eam8znyz87Mx,5
VoiceMOS2023Track2-B01-SF1-CDM1-30005,WRm85Lb1QDqA,3
VoiceMOS2023Track2-B01-SF1-CDM1-30005,jzV4JyD5K2R7,4
